,Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status
45,43.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Husam,Earabi,husam.earabi@mail.com,Tel: 5089090827,Smartphone,Xiaomi Redmi,Xiaomi Redmi 10,L025,1.0,199.0,3.98,False
46,44.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Anwar,Alaya,anwar.alaya@mail.com,Tel: 5196386412,Fitness Tracker,Garmin Vivosmart,Garmin Vivosmart 4,R021,1.0,129.0,10.32,True
47,45.0,1/1/2023,Syria,Damascus,ds02,33.5146,36.3084,Alaa,Aleaqla,alaa.aleaqla@mail.com,Tel: 5875603344,Laptop,ASUS ROG,ASUS ROG Zephyrus G14,L106,1.0,1299.0,38.97,False
48,46.0,1/1/2023,Morocco,Casablanca,cs01,33.5731,7.5898,Lwy,Alhasan,lwy.alhasan@mail.com,Tel: 5124835707,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,Y940,1.0,799.0,31.96,False
49,47.0,1/1/2023,Egypt,Cairo,cr03,30.0444,31.2357,Mazin,Ayman,mazin.ayman@mail.com,Tel: 5802259188,Smart Speaker,JBL Link,JBL Link 20,X358,1.0,99.0,5.94,True
50,48.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Abd alruhmin,Alaishhab,abd alruhmin.alaishhab@mail.com,Tel: 5842234163,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,X856,1.0,249.0,24.9,True
51,49.0,1/1/2023,Morocco,Casablanca,cs01,33.5731,7.5898,Mari,Aleisaa,mari.aleisaa@mail.com,Tel: 5252041239,Fitness Tracker,Withings Move,Withings Move,J408,12.0,59.0,7.08,False
52,50.0,1/1/2023,Syria,Damascus,ds02,33.5146,36.3084,Zayn,Bwalsibae,zayn.bwalsibae@mail.com,Tel: 5897050689,Smartwatch,Garmin Venu,Garmin Venu 2S,H016,1.0,349.0,6.98,True
53,51.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Rwbyna,Qisam,rwbyna.qisam@mail.com,Tel: 5005862331,Gaming Console,Sony PlayStation,PlayStation 4 Pro,S190,13.0,399.0,103.74,True
54,52.0,1/1/2023,Saudi Arabia,Jeddah,jd02,21.4858,39.1925,Alaa,Dwalyby,alaa.dwalyby@mail.com,Tel: 5715167065,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,R660,3.0,649.0,194.7,True
55,53.0,1/1/2023,Morocco,Casablanca,cs01,33.5731,7.5898,Jihad,Maeruf,jihad.maeruf@mail.com,Tel: 5616554637,Smartphone,OnePlus,OnePlus 10 Pro,J345,1.0,999.0,0.0,True
56,54.0,1/1/2023,United Arab Emirates,Dubai,db01,25.2048,55.2708,Iin,Kafa,iin.kafa@mail.com,Tel: 5315580289,Smart Speaker,Google Nest,Nest Audio,K140,1.0,99.0,9.9,True
57,55.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Duhana,Almala,duhana.almala@mail.com,Tel: 5538116114,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,J264,1.0,129.0,12.9,False
58,56.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Hasan,Khalf,hasan.khalf@mail.com,Tel: 5761536601,VR Headset,Valve Index,Valve Index VR Kit 2,S149,4.0,1199.0,287.76,False
59,57.0,1/1/2023,Saudi Arabia,Dammam,dm01,26.3927,49.9777,Omar,Dawara,omar.dawara@mail.com,Tel: 5883193232,VR Headset,HTC Vive,HTC Vive Cosmos Elite,Z502,2.0,899.0,107.88,True
60,58.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Suzan,Alhamadii,suzan.alhamadii@mail.com,Tel: 5730032583,Smartphone,Xiaomi Redmi,Xiaomi Redmi Note 11 Pro,F340,2.0,299.0,0.0,True
61,59.0,1/1/2023,Saudi Arabia,Jeddah,jd01,21.5433,39.1728,Lilas,Aghasi,lilas.aghasi@mail.com,Tel: 5277786111,Laptop,HP Pavilion,HP Pavilion x360,L700,1.0,649.0,12.98,False
63,60.0,1/1/2023,United Arab Emirates,Dubai,db01,25.2048,55.2708,Tariq,Aldiyn,tariq.aldiyn@mail.com,Tel: 5177009849,Smart Speaker,Sonos One,Sonos Move,G229,1.0,399.0,23.94,True
64,61.0,1/1/2023,United Arab Emirates,Dubai,db02,25.2048,55.2708,Faras,Abu eadlh,faras.abu eadlh@mail.com,Tel: 5202710065,Tablet,Amazon Fire,Amazon Fire 7,P412,1.0,49.0,3.92,True
65,62.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Ahmad,Marwan,ahmad.marwan@mail.com,Tel: 5490402136,Laptop,Microsoft Surface,Surface Laptop 4,P344,1.0,1299.0,38.97,True
66,63.0,1/1/2023,Saudi Arabia,Dammam,dm01,26.3927,49.9777,Ayham,Almala,ayham.almala@mail.com,Tel: 5759531759,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,C787,10.0,999.0,699.3,True
67,64.0,1/1/2023,Saudi Arabia,Dammam,dm01,26.3927,49.9777,Khalil,Tyru,khalil.tyru@mail.com,Tel: 5643656831,Smartphone,OnePlus,OnePlus Nord 2,P255,1.0,399.0,39.9,False
68,65.0,1/1/2023,USA,New York,ny03,40.7498,-73.9814,Fulla,Earabi,fulla.earabi@mail.com,Tel: 5768090582,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),S855,1.0,49.0,0.49,True
69,66.0,1/1/2023,Syria,Aleppo,al01,36.2021,37.1343,Salam,Alhizae,salam.alhizae@mail.com,Tel: 5992166009,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,S348,2.0,129.0,2.58,True
70,67.0,1/1/2023,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,Lana,Hujah,lana.hujah@mail.com,Tel: 5066581909,Headphones,Sennheiser HD,Sennheiser HD 800 S,S501,1.0,1699.0,67.96,False
71,68.0,1/1/2023,Saudi Arabia,Jeddah,jd01,21.5433,39.1728,Faras,Eaziza,faras.eaziza@mail.com,Tel: 5254766131,Laptop,Lenovo ThinkPad,ThinkPad X13,Z227,1.0,999.0,19.98,True
72,69.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Tariq,Ayman,tariq.ayman@mail.com,Tel: 5641374246,Laptop,Lenovo ThinkPad,ThinkPad X13,J073,1.0,999.0,29.97,True
73,70.0,1/1/2023,Syria,Damascus,ds02,33.5146,36.3084,Almuetaz,Hmshw,almuetaz.hmshw@mail.com,Tel: 5967938548,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,S395,1.0,999.0,29.97,True
74,71.0,1/1/2023,Saudi Arabia,Jeddah,jd03,21.4858,39.1925,Lwna,Khalifih,lwna.khalifih@mail.com,Tel: 5951713797,Fitness Tracker,Garmin Approach,Garmin Approach S12,Y998,2.0,199.0,11.94,True
75,72.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Abd alruhmin,Malik,abd alruhmin.malik@mail.com,Tel: 5227079276,Tablet,Samsung Galaxy Tab,Galaxy Tab A7,Y590,2.0,179.0,35.8,False
76,73.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Diea,Salah,diea.salah@mail.com,Tel: 5979821790,VR Headset,HTC Vive,HTC Vive Cosmos,Y958,1.0,699.0,55.92,True
77,74.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Muhamad,Alnuwri,muhamad.alnuwri@mail.com,Tel: 5235233631,VR Headset,Oculus Rift,Oculus Rift S,O247,1.0,399.0,15.96,True
78,75.0,1/1/2023,United Arab Emirates,Dubai,db02,25.2048,55.2708,Muhamad,Bradey,muhamad.bradey@mail.com,Tel: 5416347570,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,B966,1.0,1199.0,59.95,True
79,76.0,1/1/2023,Saudi Arabia,Jeddah,jd02,21.4858,39.1925,Tariq,Almisri,tariq.almisri@mail.com,Tel: 5872051164,Fitness Tracker,Amazfit GTR,Amazfit GTR 3,Y446,1.0,169.0,16.9,True
80,77.0,1/1/2023,Egypt,Cairo,cr03,30.0444,31.2357,Dinana,Alealiu,dinana.alealiu@mail.com,Tel: 5460866676,Smart Speaker,Harman Kardon,Harman Kardon Citation,Y247,2.0,199.0,23.88,False
81,78.0,1/1/2023,Saudi Arabia,Jeddah,jd03,21.4858,39.1925,Muhamad,Alkhawam,muhamad.alkhawam@mail.com,Tel: 5408416345,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,H574,1.0,599.0,41.93,True
82,79.0,1/1/2023,Saudi Arabia,Jeddah,jd02,21.4858,39.1925,Ahmad,Bara,ahmad.bara@mail.com,Tel: 5406450504,Smart Speaker,Apple HomePod,Apple HomePod,J345,1.0,299.0,11.96,True
83,80.0,1/1/2023,Saudi Arabia,Jeddah,jd03,21.4858,39.1925,Bidralidin,Zakianiin,bidralidin.zakianiin@mail.com,Tel: 5601517756,Smartphone,Apple iPhone,iPhone SE,Z764,13.0,399.0,414.96,True
84,81.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Emam,Qisam,emam.qisam@mail.com,Tel: 5374918663,Gaming Console,Sony PlayStation,PlayStation 5,E715,1.0,499.0,19.96,True
85,82.0,1/1/2023,Syria,Aleppo,al01,36.2021,37.1343,Rim,Hamdan,rim.hamdan@mail.com,Tel: 5420204828,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,Y518,1.0,249.0,2.49,True
86,83.0,1/1/2023,USA,New York,ny01,40.7128,-74.006,Salim,Astitih,salim.astitih@mail.com,Tel: 5653066044,Smartphone,Apple iPhone,iPhone 12,E804,1.0,899.0,89.9,True
87,84.0,1/1/2023,USA,New York,ny02,40.7312,-73.9998,Khalid,Eilwan,khalid.eilwan@mail.com,Tel: 5674931724,VR Headset,Oculus Rift S,Oculus Rift 2,Z612,1.0,499.0,0.0,True
88,85.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad03,24.4539,54.3773,Zahir,Nasir,zahir.nasir@mail.com,Tel: 5191191123,Gaming Console,Microsoft Xbox,Xbox Series S,B715,1.0,299.0,0.0,True
89,86.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Rim,Almisri,rim.almisri@mail.com,Tel: 5761025250,Digital Camera,Sony Alpha,Sony Alpha A6400,C793,1.0,899.0,71.92,True
90,87.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Lama,Aldiyn,lama.aldiyn@mail.com,Tel: 5451275428,Laptop,Lenovo ThinkPad,ThinkPad X1 Carbon,I738,1.0,1499.0,89.94,False
91,88.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Ahmad,Abunfis,ahmad.abunfis@mail.com,Tel: 5024005877,Tablet,Apple iPad,iPad Air,L841,1.0,649.0,38.94,True
92,89.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Mahir,Aljuju,mahir.aljuju@mail.com,Tel: 5412259157,Smartphone,Google Pixel,Google Pixel 5a,X610,1.0,499.0,14.97,False
93,90.0,1/1/2023,United Arab Emirates,Dubai,db02,25.2048,55.2708,Sandurana,Alrifaei,sandurana.alrifaei@mail.com,Tel: 5639518624,Smart Speaker,Apple HomePod,Apple HomePod mini,U806,1.0,99.0,0.0,True
94,91.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Jalal,Hajl,jalal.hajl@mail.com,Tel: 5548217255,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,C793,2.0,999.0,139.86,True
95,92.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Muwmin,Altaynawi,muwmin.altaynawi@mail.com,Tel: 5182382071,Gaming Console,Sony PlayStation,PlayStation 3,L106,1.0,199.0,7.96,False
96,93.0,1/1/2023,USA,New York,ny03,40.7498,-73.9814,Muhamad,Tyzry,muhamad.tyzry@mail.com,Tel: 5533873263,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,L028,1.0,229.0,13.74,True
97,94.0,1/1/2023,Syria,Homs,hs01,34.7326,36.7136,Duhana,Aljabr,duhana.aljabr@mail.com,Tel: 5833822647,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,X906,1.0,99.0,7.92,True
98,95.0,1/1/2023,Egypt,Asyut,at01,27.1809,31.1837,Rama,Maeruf,rama.maeruf@mail.com,Tel: 5809262053,Headphones,Bose QuietComfort,QC35 II,N658,13.0,299.0,310.96,False
99,96.0,2/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Muhamad,Alsyd,muhamad.alsyd@mail.com,Tel: 5890038465,VR Headset,Oculus Quest,Oculus Quest 2 (256GB),E301,1.0,399.0,7.98,True
100,97.0,2/1/2023,Saudi Arabia,Jeddah,jd01,21.5433,39.1728,Alaa,Alshiyraziu,alaa.alshiyraziu@mail.com,Tel: 5420598454,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,N969,1.0,49.0,0.0,True
101,98.0,2/1/2023,Egypt,Asyut,at01,27.1809,31.1837,Faras,Hamuwd,faras.hamuwd@mail.com,Tel: 5852825629,Digital Camera,Sony Alpha,Sony Alpha A6400,B265,2.0,899.0,0.0,False
102,99.0,2/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Duhana,Alhabis,duhana.alhabis@mail.com,Tel: 5954736246,Smart Speaker,Harman Kardon,Harman Kardon Allure,J753,1.0,249.0,7.47,True
103,100.0,2/1/2023,United Arab Emirates,Abu Dhabi,ad03,24.4539,54.3773,Rwad,Eazu,rwad.eazu@mail.com,Tel: 5901766106,Smartwatch,Fossil Gen,Fossil Gen 5E,M073,1.0,199.0,13.93,True
104,101.0,2/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Ahmad,Jamul,ahmad.jamul@mail.com,Tel: 5727579337,Smartphone,Google Pixel,Google Pixel 6 Pro,K012,1.0,899.0,71.92,True
105,102.0,2/1/2023,Saudi Arabia,Jeddah,jd02,21.4858,39.1925,Eala,Alhilaq,eala.alhilaq@mail.com,Tel: 5252930963,VR Headset,HTC Vive Pro,HTC Vive Pro 2,M137,1.0,1099.0,76.93,False
106,103.0,2/1/2023,Saudi Arabia,Jeddah,jd03,21.4858,39.1925,Bilal,Aljawfani,bilal.aljawfani@mail.com,Tel: 5111389515,Gaming Console,Nintendo Switch,Nintendo Switch OLED Pro,L412,2.0,449.0,89.8,True
107,104.0,2/1/2023,Saudi Arabia,Dammam,dm01,26.3927,49.9777,Antuan,Eurman,antuan.eurman@mail.com,Tel: 5331028196,Gaming Console,Sony PlayStation,PlayStation 3 Slim,I917,1.0,199.0,3.98,True
108,105.0,2/1/2023,France,Paris,ps01,48.8566,2.3522,Lama,Brnbu,lama.brnbu@mail.com,Tel: 5490218451,Gaming Console,Microsoft Xbox,Xbox One X,U290,1.0,299.0,5.98,False
109,106.0,2/1/2023,Syria,Homs,hs01,34.7326,36.7136,Tana,Almala,tana.almala@mail.com,Tel: 5979595963,VR Headset,HTC Vive,HTC Vive Cosmos,G599,1.0,699.0,13.98,True
110,107.0,2/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Eala,Qahraman,eala.qahraman@mail.com,Tel: 5389769101,Smartphone,Samsung Galaxy,Galaxy M32,I838,1.0,249.0,17.43,True
111,108.0,2/1/2023,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,Sabah,Qaziyha,sabah.qaziyha@mail.com,Tel: 5640508149,Laptop,Dell XPS,XPS 15,D873,1.0,1599.0,47.97,True
112,109.0,2/1/2023,France,Paris,ps02,48.8566,2.3522,Ailya,Alrahil,ailya.alrahil@mail.com,Tel: 5273897147,Tablet,Microsoft Surface,Surface Go 2,I470,1.0,399.0,39.9,True
113,110.0,2/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Rabye',Abuhani,rabye'.abuhani@mail.com,Tel: 5739930646,Fitness Tracker,Withings Move,Withings Move,R426,1.0,59.0,2.36,False
114,111.0,2/1/2023,Syria,Aleppo,al01,36.2021,37.1343,Muhamad,Aleabd,muhamad.aleabd@mail.com,Tel: 5878378742,Laptop,Apple MacBook,"MacBook Air 13""",N639,12.0,999.0,239.76,True
115,112.0,2/1/2023,USA,New York,ny03,40.7498,-73.9814,Omar,Alealbi,omar.alealbi@mail.com,Tel: 5974119187,Headphones,Bose SoundSport,Bose SoundSport Free,E365,1.0,179.0,5.37,True
116,113.0,2/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Muhamad,Aljuju,muhamad.aljuju@mail.com,Tel: 5165641820,Laptop,HP Pavilion,HP Pavilion 15,G557,1.0,799.0,15.98,True
117,114.0,2/1/2023,Saudi Arabia,Dammam,dm01,26.3927,49.9777,Ehab,Alghumyan,ehab.alghumyan@mail.com,Tel: 5505632614,Smart Speaker,Sonos One,Sonos One SL,L700,1.0,179.0,7.16,False
118,115.0,2/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Mazin,Alkhayran,mazin.alkhayran@mail.com,Tel: 5848984857,Fitness Tracker,Garmin Approach,Garmin Approach S62,N985,2.0,499.0,69.86,True
119,116.0,2/1/2023,Egypt,Asyut,at01,27.1809,31.1837,Jamal,Sybea,jamal.sybea@mail.com,Tel: 5517090877,Digital Camera,Nikon Z Series,Nikon Z50,C787,1.0,799.0,47.94,True
120,117.0,2/1/2023,Egypt,Asyut,at01,27.1809,31.1837,Diea,Muayid,diea.muayid@mail.com,Tel: 5073056992,Fitness Tracker,Fitbit Charge,Fitbit Charge 4,H016,1.0,149.0,8.94,True
